,Type,Name,longitude,latitude,Address,hoods_,hoods_id,s_hood,l_hood,l_hoodid
0,Community Centers,Alki Community Center,-122.406987,47.5776,5817 SW Stevens St.,76.0,168.0,Alki,WEST SEATTLE,19.0
1,Community Centers,Ballard Community Center,-122.392405,47.67285,6020 28th Ave NW,30.0,129.0,Adams,BALLARD,7.0
2,Community Centers,Bitter Lake Community Center,-122.348408,47.724314,13035 Linden Ave. N,113.0,101.0,Bitter Lake,NO BROADER TERM,1.0
3,Community Centers,Delridge Community Center,-122.364001,47.56333,4501 Delridge Wy SW,92.0,174.0,North Delridge,DELRIDGE,20.0
4,Community Centers,Garfield Community Center,-122.302395,47.607701,2323 E Cherry St,59.0,155.0,Mann,CENTRAL AREA,14.0
5,Community Centers,Green Lake Community Center,-122.328707,47.680378,7201 E Green Lake Dr. N,36.0,123.0,Green Lake,NO BROADER TERM,6.0
6,Community Centers,Hiawatha Community Center,-122.384601,47.578143,2700 California Ave. SW,77.0,169.0,North Admiral,WEST SEATTLE,19.0
7,Community Centers,High Point Community Center,-122.3748,47.54065,6920 34th Ave. SW,94.0,182.0,High Point,DELRIDGE,20.0
8,Community Centers,International District Community Center,-122.322831,47.596411,719 8th Avenue S,63.0,164.0,International District,DOWNTOWN,13.0
9,Community Centers,Jefferson Community Center,-122.308117,47.569779,3801 Beacon Ave S,81.0,166.0,North Beacon Hill,BEACON HILL,17.0
10,Community Centers,Langston Hughes Cultural Arts Center,-122.310087,47.601397,104 17th Ave S,60.0,165.0,Atlantic,CENTRAL AREA,14.0
11,Community Centers,Laurelhurst Community Center,-122.277861,47.659175,4554 NE 41st St,42.0,136.0,Laurelhurst,NO BROADER TERM,4.0
12,Community Centers,Loyal Heights Community Center,-122.382945,47.68477,2101 NW 77th St.,29.0,120.0,Loyal Heights,BALLARD,7.0
13,Community Centers,Magnolia Community Center,-122.399828,47.641954,2550 34TH AVE W,54.0,144.0,Southeast Magnolia,MAGNOLIA,8.0
14,Community Centers,Meadowbrook Community Center,-122.291539,47.705952,10517 35th Ave NE,106.0,108.0,Meadowbrook,LAKE CITY,3.0
