Alternative Schools	used
Basketball Courts	unused
Beaches	unused
Boat Launches	unused
Cemeteries	unused
Ceremonies	unused
Childrens Play Areas	unused
Community Centers	used
Computer/Media Center	unused
Drivers Licenses	unused
Elementary Schools	used
Emission Inspections	unused
Environmental Learning  Centers	unused
Family Support Center	used
Farmers Markets	used
Ferry Terminal	used
Fire Stations	unused
Firepits	unused
Fishing	unused
Food Banks	used
Gardens	unused
General Attractions	used
Golf Courses	unused
Health Centers - Community	used
Health Centers - Public	used
Heritage Trees	unused
High Schools	used
Higher Education	used
Hospitals	used
Landmarks	unused
Libraries	used
Light Rail	used
Middle Schools	used
Monorail	used
Museums and Galleries	used
Neighborhood Service Centers	used
Off Leash Areas	unused
P-Patches	unused
ParkNRide	unused
Parks	unused
Pet License Sales	unused
Picnic Sites	unused
Playfields	unused
Police Precincts	used
Pools	unused
Public Art	unused
Public Spaces	unused
Public Toilets	unused
Seattle Center	unused
South Lake Union Trolley	unused
Tennis Courts	unused
Traffic Cameras	unused
Transfer Stations	unused
Viewpoints	unused
Wading Pools	unused
Water Taxi	unused
Waterfront	unused
