FID,OBJECTID,AWNING,CROSS_STRE,ON_STREET,Lat,Lon,Type,Name,Address
0,12,NO,Harbor Ave SW,Water Taxi Route,47.58937159,-122.3794356, , , 
1,16,NO,31st Ave W,W McGraw St,47.63962151,-122.397427, , , 
2,24,NO,S Walker St,SODO Busway AcRd,47.58468117,-122.3274189, , , 
3,25,NO,S Spokane St,SODO Busway AcRd,47.57225922,-122.3273618, , , 
4,29,NO,Convention Place AcRd,Convention Place AcRd,47.61449126,-122.3322033, , , 
5,31,NO,Spokane Ln,Memorial Way,47.65824676,-122.3095728, , , 
6,33,NO,4th Ave,Wall St,47.6164506,-122.3465929, , , 
7,34,NO,E Thomas St,Eastlake Ave E,47.62081579,-122.3290259, , , 
8,35,NO,5th Ave,Virginia St,47.61363046,-122.3391391, , , 
9,36,NO,S Atlantic St,6th Ave S,47.58994209,-122.3258535, , , 
10,37,NO,S Forest St,4th Ave S,47.57796717,-122.3289412, , , 
11,40,NO,SW 106th St,26th Ave SW,47.5083452,-122.3656986, , , 
12,41,NO,SW 114th St,26th Ave SW,47.50111353,-122.3658687, , , 
13,56,NO,Harbor Ave SW,Water Taxi Route,47.58949597,-122.3795212, , , 
14,92,NO,NE 95th St,Roosevelt Way NE,47.69738921,-122.3176693, , , 
15,93,NO,6th Ave NE,NE 145th St,47.73396714,-122.3222226, , , 
16,122,NO,3rd Ave NE,NE 100th St,47.70126429,-122.3249875, , , 
17,123,NO,Martin L King Jr Way S,S Henderson St,47.52337413,-122.2783806, , , 
18,126,NO,26th Ave S,Center Park AcRd,47.58432552,-122.2989248, , , 
19,129,NO,SW Oregon St,35th Ave SW,47.5624443,-122.3762858, , , 
20,130,NO,Sand Point Way NE,NE 70th St,47.67929192,-122.2637262, , , 
21,140,NO,Transit Tunnel AcRd,Capitol Hill Sta AcRd,47.61955314,-122.3203715, , , 
22,141,NO,Pedestrian Tunnel Walk,University of WA Sta AcRd,47.64969745,-122.3035005, , , 
23,142,NO,Transit Tunnel AcRd,University of WA Sta AcRd,47.64969566,-122.3038692, , , 
24,143,NO,Pedestrian Walk,Capitol Hill Sta AcRd,47.61962041,-122.3200222, , , 
25,144,NO,Unnamed,ST Light Rail,47.61350865,-122.3316688, , , 
26,160,NO,S Lander St,SODO Busway AcRd,47.58187141,-122.3274082, , , 
