Type,Name,Latitude,Longitude,Address
Community Centers,Alki Community Center,-122.406987,47.5776,5817 SW Stevens St.
Community Centers,Ballard Community Center,-122.392405,47.67285,6020 28th Ave NW
Community Centers,Bitter Lake Community Center,-122.348408,47.724314,13035 Linden Ave. N
Community Centers,Delridge Community Center,-122.364001,47.56333,4501 Delridge Wy SW
Community Centers,Garfield Community Center,-122.302395,47.607701,2323 E Cherry St
Community Centers,Green Lake Community Center,-122.328707,47.680378,7201 E Green Lake Dr. N
Community Centers,Hiawatha Community Center,-122.384601,47.578143,2700 California Ave. SW
Community Centers,High Point Community Center,-122.3748,47.54065,6920 34th Ave. SW
Community Centers,International District Community Center,-122.322831,47.596411,719 8th Avenue S
Community Centers,Jefferson Community Center,-122.308117,47.569779,3801 Beacon Ave S
Community Centers,Langston Hughes Cultural Arts Center,-122.310087,47.601397,104 17th Ave S
Community Centers,Laurelhurst Community Center,-122.277861,47.659175,4554 NE 41st St
Community Centers,Loyal Heights Community Center,-122.382945,47.68477,2101 NW 77th St.
Community Centers,Magnolia Community Center,-122.399828,47.641954,2550 34TH AVE W
Community Centers,Meadowbrook Community Center,-122.291539,47.705952,10517 35th Ave NE
Community Centers,Miller Community Center,-122.306852,47.621879,330 19th Ave E
Community Centers,Montlake Community Center,-122.31004,47.641613,1618 E Calhoun St.
Community Centers,Queen Anne Community Center,-122.359234,47.636143,1901 1st Ave. W
Community Centers,Rainier Beach Community Center,-122.270747,47.524042,8825 Rainier Ave. S
Community Centers,Rainier Community Center,-122.284537,47.561319,4600 38th Ave S
Community Centers,Ravenna/Eckstein Community Center,-122.304141,47.676651,6535 Ravenna Ave. NE
Community Centers,South Park Community Center,-122.324018,47.528346,8319 8th Ave S
Community Centers,Southwest Community Center,-122.368952,47.527887,2801 SW Thistle St
Community Centers,Van Asselt Community Center,-122.295241,47.539405,2820 S Myrtle St
Community Centers,Yesler Community Center,-122.320772,47.601427,917 E Yesler Way
Elementary Schools,Adams,-122.29301,47.70994,11051 34th Ave NE
Elementary Schools,Alki,-122.407827,47.577141,3010 59th Ave SW
Elementary Schools,Arbor Heights,-122.377586,47.509701,3701 SW 104th St
Elementary Schools,B.F. Day,-122.349124,47.654636,3921 Linden Ave N
Elementary Schools,Bailey Gatzert,-122.315483,47.601201,1301 E Yesler Wy
Elementary Schools,Beacon Hill International,-122.315104,47.58547,2025 - 14th Ave S
Elementary Schools,Brighton,-122.27691,47.541744,6725 45th Ave S
Elementary Schools,Broadview-Thomson K-8,-122.353151,47.724632,13052 Greenwood Ave N
Elementary Schools,Bryant,-122.292207,47.671842,3311 NE 60th St
Elementary Schools,Coe,-122.365599,47.640516,2424 7th Ave W
Elementary Schools,Concord International School,-122.324689,47.523611,723 S Concord
Elementary Schools,Daniel Bagley,-122.342306,47.686358,7821 Stone Ave N
Elementary Schools,Dearborn Park,-122.296286,47.552261,2820 S Orcas St
Elementary Schools,Dunlap,-122.274656,47.524989,4525 S Cloverdale
Elementary Schools,Emerson,-122.258635,47.514821,9709 60th Ave S
Elementary Schools,Gatewood,-122.388497,47.540252,4320 SW Myrtle St
Elementary Schools,Graham Hill,-122.268533,47.545757,5149 S Graham St
Elementary Schools,Green Lake,-122.328498,47.676302,2400 N 65th
Elementary Schools,Greenwood,-122.35996,47.687253,144 NW 80th St
Elementary Schools,Hawthorne,-122.283385,47.565906,4100 39th Ave S
Elementary Schools,Highland Park,-122.348278,47.525177,1012 SW Trenton St
Elementary Schools,Jane Adams,-122.29301,47.70994,6110 28th Ave NW
Elementary Schools,John Muir,-122.290579,47.573242,3301 S Horton St
Elementary Schools,John Rogers,-122.284635,47.707425,4030 NE 109th St
Elementary Schools,John Stanford International,-122.324054,47.657528,4057 5th Ave NE
Elementary Schools,Kimball,-122.303012,47.574044,3200 23rd Ave S
Elementary Schools,Lafayette,-122.387234,47.579495,2645 California Ave SW
Elementary Schools,Laurelhurst,-122.277962,47.662199,4530 46th Ave NE
Elementary Schools,Lawton,-122.390476,47.656713,4000 27th Ave W
Elementary Schools,Lowell,-122.31838,47.624424,1058 E Mercer St
Elementary Schools,Loyal Heights,-122.389052,47.686434,2511 NW 80th St
Elementary Schools,Maple,-122.3189,47.558126,4925 Corson Ave S
Elementary Schools,Mcgilvra,-122.284831,47.634078,1617 38th Ave E
Elementary Schools,Montlake,-122.304286,47.640634,2409 22nd Ave E
Elementary Schools,North Beach,-122.387037,47.694976,9018 24th Ave NW
Elementary Schools,Northgate,-122.329584,47.714867,11725 1st Ave NE
Elementary Schools,Olympic Hills,-122.306757,47.723687,13018 20th Ave NE
Elementary Schools,Olympic View,-122.321258,47.698231,504 NE 95th St
Elementary Schools,Roxhill,-122.37056,47.518053,9430 30th Ave SW
Elementary Schools,Sacajawea,-122.307474,47.698448,9501 20th Ave NE
Elementary Schools,Sanislo,-122.358659,47.539609,1812 SW Myrtle St
Elementary Schools,Schmitz Park,-122.396731,47.57269,5000 SW Spokane St
Elementary Schools,Stevens,-122.307864,47.631456,1242 18th Ave E
Elementary Schools,Thurgood Marshall,-122.299846,47.590959,2401 S Irving St
Elementary Schools,View Ridge,-122.275333,47.680688,7047 50th Ave NE
Elementary Schools,Wedgwood,-122.297053,47.690538,2720 NE 85th St
Elementary Schools,West Seattle,-122.373494,47.541762,6760 34th Ave SW
Elementary Schools,West Woodland,-122.362247,47.6706,5601 4th Ave NW
Elementary Schools,Whittier,-122.373077,47.683591,1320 NW 75th St
Elementary Schools,Whitworth,-122.275955,47.554778,5215 46th Ave S
Elementary Schools,Wing Luke,-122.284905,47.53074,3701 S Kenyon St
Family Support Center,Cascade Peoples Center,-122.33218,47.62111,309 PONTIUS AVE N
Family Support Center,Family Works Resource Center,-122.3391,47.66117,1501 N 45th St
Family Support Center,High Point Family Center,-122.37609,47.54303,6558 35th Ave SW
Family Support Center,International Family Center,-122.32545,47.59636,611 S Lane St
Family Support Center,New Holly Family Center,-122.29043,47.53935,7050 32nd Ave S
Family Support Center,North Seattle Family Center,-122.2938,47.71948,3200 NE 125th
Family Support Center,Rainier Beach Family Center,-122.27074,47.52472,8825 Rainier Ave S
Family Support Center,Southwest Family Center,-122.36348,47.56204,4555 Delridge Way SW
Farmers Markets,Ballard,-122.383178,47.666398,5300 BALLARD AVE NW
Farmers Markets,Broadway,-122.320111,47.620938,10th Ave E & E Thomas St
Farmers Markets,Columbia City,-122.286166,47.559395,4801 RAINIER AVE S
Farmers Markets,Fremont,-122.353297,47.650202,N 34TH & EVANSTON AVE N
Farmers Markets,Lake City,-122.296318,47.721104,NE 127TH & 30TH AVE NE
Farmers Markets,Madison Madrona,-122.2962,47.61294,M L KING JR WAY S & E UNION ST
Farmers Markets,Magnolia,-122.400694,47.642146,2550 34TH AVE W
Farmers Markets,Phinney,-122.353948,47.677557,67TH AVE & PHINNEY AVE N
Farmers Markets,University,-122.313533,47.665149,UNIVERSITY AVE NE & NE 50TH ST
Farmers Markets,Wallingford,-122.335308,47.660933,1815 N 45TH ST
Farmers Markets,West Seattle,-122.387736,47.56088,SW ALASKA ST & CALIFORNIA AVE SW
Ferry Terminal,Fauntleroy Terminal,-122.393631,47.523234,4829 SW Barton
Ferry Terminal,Seattle Main Terminal - Colman Dock,-122.33763,47.602729,801 Alaska Way
Food Banks,Asian Counseling And Referral Services,-122.322334,47.596483,720 8th Ave S
Food Banks,Ballard Food Bank,-122.387661,47.679582,7005 24th Ave NW
Food Banks,Beacon Avenue Food Bank,-122.300331,47.546769,6230 Beacon Ave S
Food Banks,Blessed Sacrament Food Bank,-122.319416,47.665359,5050 8th Ave NE
Food Banks,Bo Da Dao Trang,-122.284441,47.515561,3909 S Sunny View Dr
Food Banks,Cambodian Senior Club,-122.345149,47.515155,9800 8th Ave SW
Food Banks,Cascade Immanuel Food Bank,-122.332595,47.620733,1215 Thomas St
Food Banks,Central Area Motivation Program,-122.308541,47.625456,722 18th Ave E
Food Banks,Chicken Soup Brigade,-122.319318,47.612259,1002 E Seneca St
Food Banks,Downtown Food Bank,-122.341519,47.60863,1531 Western Ave 5th floor
Food Banks,El Centro De La Raza,-122.31198,47.580786,2524 16th Ave S
Food Banks,Emergency Feeding Program,-122.298464,47.599165,2615 S Jackson St
Food Banks,Familyworks-Wallingford,-122.339139,47.661302,1501 N 45th St
Food Banks,Friendly Island Of Tonga Seniors,-122.322996,47.528846,8319 8th Ave S
Food Banks,Indo-China Chinese Elderly Association,-122.325177,47.5991,409 Maynard Ave S
Food Banks,Jewish Family Service Food Bank,-122.311587,47.615313,1601 16th Ave
Food Banks,Korean Senior Club Ii,-122.314268,47.601242,153 14th Ave S
Food Banks,Lake City Food Bank,-122.296462,47.721181,12707 30th Ave NE
Food Banks,Northwest Community Services,-122.288711,47.565566,4205 Rainier Ave S
Food Banks,Operational Emergency Center,-122.245348,47.496876,11827 Renton Ave S
Food Banks,Phinney Ridge Food Bank,-122.355178,47.683311,7500 Greenwood Ave N
Food Banks,Providence Regina House,-122.320351,47.529771,8201 10th Ave S
Food Banks,Puget Sound Labor Agency,-122.351499,47.616432,2800 1st Ave
Food Banks,Salvation Army Food Bank,-122.328816,47.613412,1101 Pike St
Food Banks,Salvation Army White Center,-122.354989,47.522378,9050 16th Ave SW
Food Banks,Samoan Senior Club,-122.322996,47.528846,8319 8th Ave S
Food Banks,Seattle Indian Center,-122.317349,47.597396,611 12th Ave S #300
Food Banks,Seattle Korean Elders Association,-122.310136,47.601781,104 17th Ave
Food Banks,Society Of St. Vincent De Paul-Georgetown Service Center,-122.329456,47.549814,5950 4th Ave S
Food Banks,Spiritual Miracles Food Bank,-122.24084,47.49142,7422 South 126th Street
Food Banks,Tahanan Filipino Services,-122.28778,47.550936,5740 M L King Jr Way S
Food Banks,The Food Bank At St. Marys,-122.306445,47.60728,611 20th Ave
Food Banks,University District Service League,-122.312083,47.66331,4731 15th Ave NE
Food Banks,Vietnamese Friendship Association,-122.31938,47.599102,1017 S Jackson St
Food Banks,Volunteers Of America-Greenwood,-122.355521,47.699736,9747 Greenwood Ave N
Food Banks,West Seattle Food Bank,-122.376998,47.564761,3518 SW Genesee St.
General Attractions,Ballard Locks,-122.396338,47.667439,3015 NW 54th St
General Attractions,Benaroya Hall,-122.337173,47.607939,200 University St
General Attractions,Pike Place Market,-122.341212,47.608798,1st Ave & Pike St
General Attractions,Pioneer Square,-122.333848,47.602016,1st Ave & Yesler St
General Attractions,Port Of Seattle,-122.353747,47.614,2711 Alaskan Wy
General Attractions,Seattle Aquarium,-122.342426,47.60788,1483 Alaskan Wy
General Attractions,Seattle Center,-122.353983,47.622078,305 Harrison St
General Attractions,Seattle Underground Tour,-122.333468,47.602191,608 1st Ave
General Attractions,Woodland Park Zoo,-122.35173,47.667859,N 50th & Fremont Ave N
Health Centers - Community,45th St Clinic,-122.3378,47.661164,1629 N 45th St
Health Centers - Community,Carolyn Downs Community Health Clinic,-122.304768,47.601321,2101 E Yesler Way
Health Centers - Community,Central Area Dental Clinic,-122.304768,47.601321,2101 E Yesler Way
Health Centers - Community,Country Doctor Community Health Clin,-122.306924,47.624076,500 19th Ave E
Health Centers - Community,Georgetown Dental Clinic,-122.315869,47.547557,6200 13th Ave S
