Alternative Schools	used
Basketball Courts	0
Beaches	0
Boat Launches	0
Bus Stop	used
Cemeteries	0
Ceremonies	0
Childrens Play Areas	0
Community Centers	used
Computer/Media Center	0
Drivers Licenses	0
Elementary Schools	used
Emission Inspections	0
Environmental Learning  Centers	0
Family Support Center	used
Farmers Markets	used
Ferry Terminal	used
Fire Stations	0
Firepits	0
Fishing	0
Food Banks	used
Gardens	0
General Attractions	used
Golf Courses	0
Health Centers - Community	used
Health Centers - Public	used
Heritage Trees	0
High Schools	used
Higher Education	used
Hospitals	used
Landmarks	0
Libraries	used
Light Rail	used
Middle Schools	used
Monorail	used
Museums and Galleries	used
Neighborhood Service Centers	used
Off Leash Areas	0
P-Patches	0
ParkNRide	0
Parks	0
Pet License Sales	0
Picnic Sites	0
Playfields	0
Police Precincts	used
Pools	0
Public Art	0
Public Spaces	0
Public Toilets	0
Seattle Center	0
South Lake Union Trolley	0
Tennis Courts	0
Traffic Cameras	0
Transfer Stations	0
Viewpoints	0
Wading Pools	0
Water Taxi	0
Waterfront	0
