,objectid,cost
0,1,HIGH
1,2,LOW
2,3,LOW
3,4,LOW
4,5,MEDIUM
5,6,MEDIUM
6,7,MEDIUM
7,8,HIGH
8,9,LOW
9,10,LOW
10,11,LOW
11,12,LOW
12,13,LOW
13,14,HIGH
14,15,HIGH
15,16,HIGH
16,17,LOW
17,18,LOW
18,19,LOW
19,20,LOW
20,21,LOW
21,22,HIGH
22,23,LOW
23,24,LOW
24,25,MEDIUM
25,26,HIGH
26,27,LOW
27,28,LOW
28,29,NA
29,30,NA
30,31,HIGH
31,32,LOW
32,33,LOW
33,34,HIGH
34,35,HIGH
35,36,LOW
36,37,HIGH
37,38,LOW
38,39,NA
39,40,HIGH
40,41,MEDIUM
41,42,LOW
42,43,LOW
43,44,LOW
44,45,LOW
45,46,LOW
46,47,LOW
47,48,HIGH
48,49,LOW
49,50,NA
50,51,LOW
51,52,NA
52,53,HIGH
53,54,LOW
54,55,HIGH
55,56,MEDIUM
56,57,LOW
57,58,MEDIUM
58,59,HIGH
59,60,LOW
60,61,LOW
61,62,LOW
62,63,LOW
63,64,MEDIUM
64,65,LOW
65,66,LOW
66,67,HIGH
67,68,HIGH
68,69,LOW
69,70,LOW
70,71,HIGH
71,72,HIGH
72,73,LOW
73,74,LOW
74,75,LOW
75,76,HIGH
76,77,LOW
77,78,HIGH
78,79,LOW
79,80,LOW
80,81,LOW
81,82,LOW
82,83,LOW
83,84,LOW
84,85,HIGH
85,86,HIGH
86,87,MEDIUM
87,88,MEDIUM
88,89,LOW
89,90,MEDIUM
90,91,LOW
91,92,HIGH
92,93,HIGH
93,94,LOW
94,95,HIGH
95,96,LOW
96,97,LOW
97,98,LOW
98,99,LOW
99,100,LOW
100,101,LOW
101,102,LOW
102,103,HIGH
103,104,HIGH
104,105,MEDIUM
105,106,LOW
106,107,HIGH
107,108,LOW
108,109,HIGH
109,110,LOW
110,111,LOW
111,112,LOW
112,113,HIGH
113,114,LOW
114,115,HIGH
115,116,MEDIUM
116,117,LOW
117,118,LOW
118,119,LOW
119,120,LOW
120,121,LOW
121,122,HIGH
122,123,LOW
123,124,LOW
124,125,HIGH
125,126,HIGH
126,127,LOW
127,128,HIGH
128,129,HIGH
129,130,LOW
130,131,LOW
131,132,HIGH
132,133,MEDIUM
133,134,LOW
134,135,HIGH
135,136,LOW
136,137,LOW
137,138,LOW
138,139,HIGH
139,140,LOW
140,141,LOW
141,142,LOW
142,143,HIGH
143,144,HIGH
144,145,LOW
145,146,HIGH
146,147,HIGH
147,148,LOW
148,149,HIGH
149,150,MEDIUM
150,151,HIGH
151,152,MEDIUM
152,153,MEDIUM
153,154,HIGH
154,155,NA
155,156,HIGH
156,157,HIGH
157,158,HIGH
158,159,LOW
159,160,LOW
160,161,MEDIUM
161,162,LOW
162,163,NA
163,164,HIGH
164,165,LOW
165,166,LOW
166,167,LOW
167,168,LOW
168,169,LOW
169,170,LOW
170,171,LOW
171,172,HIGH
172,173,HIGH
173,174,LOW
174,175,HIGH
175,176,HIGH
176,177,HIGH
177,178,HIGH
178,179,LOW
179,180,LOW
180,181,HIGH
181,182,HIGH
182,183,LOW
183,184,LOW
184,185,LOW
185,186,LOW
186,187,LOW
187,188,LOW
188,189,HIGH
189,190,LOW
190,191,HIGH
191,192,LOW
192,193,LOW
193,194,LOW
194,195,LOW
195,196,LOW
196,197,LOW
197,198,LOW
198,199,LOW
199,200,LOW
200,201,HIGH
201,202,LOW
202,203,LOW
203,204,HIGH
204,205,LOW
205,206,LOW
206,207,LOW
207,208,LOW
208,209,NA
209,210,LOW
210,211,LOW
211,212,HIGH
212,213,LOW
213,214,LOW
214,215,LOW
215,216,LOW
216,217,LOW
217,218,HIGH
218,219,LOW
219,220,HIGH
220,221,NA
221,222,HIGH
222,223,NA
223,224,LOW
224,225,HIGH
225,226,LOW
226,227,LOW
227,228,HIGH
228,229,LOW
229,230,LOW
230,231,LOW
231,232,HIGH
232,233,LOW
233,234,LOW
234,235,LOW
235,236,HIGH
236,237,HIGH
237,238,LOW
238,239,HIGH
239,240,LOW
240,241,HIGH
241,242,LOW
242,243,HIGH
243,244,LOW
244,245,HIGH
245,246,LOW
246,247,MEDIUM
247,248,NA
248,249,LOW
249,250,HIGH
250,251,LOW
251,252,LOW
252,253,LOW
253,254,LOW
254,255,LOW
255,256,NA
256,257,LOW
257,258,HIGH
258,259,LOW
259,260,LOW
260,261,LOW
261,262,LOW
262,263,LOW
263,264,LOW
264,265,LOW
265,266,LOW
266,267,LOW
267,268,HIGH
268,269,LOW
269,270,LOW
270,271,HIGH
271,272,LOW
272,273,HIGH
273,274,MEDIUM
274,275,LOW
275,276,LOW
276,277,LOW
277,278,LOW
278,279,HIGH
279,280,LOW
280,281,LOW
281,282,LOW
282,283,LOW
283,284,LOW
284,285,LOW
285,286,LOW
286,287,LOW
287,288,HIGH
288,289,LOW
289,290,HIGH
290,291,NA
291,292,LOW
292,293,HIGH
293,294,LOW
294,295,LOW
295,296,HIGH
296,297,HIGH
297,298,NA
298,299,LOW
299,300,HIGH
300,301,NA
301,302,HIGH
302,303,HIGH
303,304,LOW
304,305,MEDIUM
305,306,LOW
306,307,LOW
307,308,MEDIUM
308,309,LOW
309,310,LOW
310,311,LOW
311,312,HIGH
312,313,LOW
313,314,HIGH
314,315,LOW
315,316,HIGH
316,317,LOW
317,318,LOW
318,319,HIGH
319,320,HIGH
320,321,LOW
321,322,LOW
322,323,HIGH
323,324,LOW
324,325,LOW
325,326,LOW
326,327,HIGH
327,328,LOW
328,329,HIGH
329,330,LOW
330,331,LOW
331,332,LOW
332,333,LOW
333,334,HIGH
334,335,LOW
335,336,HIGH
336,337,LOW
337,338,LOW
338,339,LOW
339,340,LOW
340,341,LOW
341,342,LOW
342,343,HIGH
343,344,HIGH
344,345,HIGH
345,346,LOW
346,347,LOW
347,348,LOW
348,349,HIGH
349,350,LOW
350,351,LOW
351,352,HIGH
352,353,HIGH
353,354,HIGH
354,355,LOW
355,356,HIGH
356,357,MEDIUM
357,358,LOW
358,359,LOW
359,360,LOW
360,361,LOW
