,join_fid,awning,cross_stre,on_street,lat,lon,type,name,address,HOODS_,HOODS_ID,S_HOOD,L_HOOD,L_HOODID
0,924,NO,S Lucile St,East Marginal Way S,47.553678957,-122.336955552,Bus Stop,,,70.0,177.0,Georgetown,NO BROADER TERM,18.0
7,900,NO,S Brandon St,4th Ave S,47.5538826511,-122.329633302,Bus Stop,,,70.0,177.0,Georgetown,NO BROADER TERM,18.0
11,919,NO,S Lucile St,4th Ave S,47.5537639465,-122.329431869,Bus Stop,,,70.0,177.0,Georgetown,NO BROADER TERM,18.0
12,239,NO,S Bennett St,4th Ave S,47.5551282581,-122.329419372,Bus Stop,,,69.0,167.0,Industrial District,NO BROADER TERM,18.0
14,901,NO,S Dawson St,4th Ave S,47.5553867884,-122.329619539,Bus Stop,,,69.0,167.0,Industrial District,NO BROADER TERM,18.0
44,1111,NO,S Orcas St,4th Ave S,47.5520894493,-122.329446685,Bus Stop,,,70.0,177.0,Georgetown,NO BROADER TERM,18.0
288,111,NO,S Lucile St,East Marginal Way S,47.5535357208,-122.337095735,Bus Stop,,,70.0,177.0,Georgetown,NO BROADER TERM,18.0
433,1188,NO,S Lucile St,Airport Way S,47.553195811,-122.32096018,Bus Stop,,,70.0,177.0,Georgetown,NO BROADER TERM,18.0
434,1218,NO,Corson Ave S,Airport Way S,47.5523829883,-122.319920025,Bus Stop,,,82.0,172.0,Mid-Beacon Hill,BEACON HILL,17.0
468,899,NO,S Mead St,4th Ave S,47.5507801937,-122.329661112,Bus Stop,,,70.0,177.0,Georgetown,NO BROADER TERM,18.0
472,1112,NO,S Fidalgo St,4th Ave S,47.550357005,-122.329461415,Bus Stop,,,70.0,177.0,Georgetown,NO BROADER TERM,18.0
473,3395,,,,47.549814,-122.329456,Food Banks,Society Of St. Vincent De Paul-Georgetown Service Center,5950 4th Ave S,70.0,177.0,Georgetown,NO BROADER TERM,18.0
